Nombre                 País de orígen  Sector          Intención frente a los proyectos  Detalle inversión   Tiene algún proyecto  Expectativa inversión 2021  Inversión real 2021  Inversión real 2020  Inversión real 2019
---------------------  --------------  --------------  --------------------------------  ------------------  --------------------  --------------------------  -------------------  -------------------  -------------------
Benedicta Skally       ARGENTINA       Construcción    Inversión                         Socio capitalista   NO                                             0                    0             96781441             47643060
Sabina Samper          ARGENTINA       Agroindustrial  Inversión                         Socio capitalista   SI                                      10000000             40848959             92963332             47565587
Henri Swadden          URUGUAY         Construcción    Trabajo                           Buscando trabajo    NO                                             0                    0             49599457                    0
Ann-marie Dessent      ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                      10000000             78308880              3248026             27143270
Leona Pates            BRASIL          Construcción    Trabajo                           Ofreciendo trabajo  NO                                      50000000              2910571             37561085             19598007
Kerrill Stoute         ARGENTINA       Inmobiliario    Trabajo                           Ofreciendo trabajo  NO                                      90000000             50075523             59142617             95314026
Diane-marie Wickliffe  CHILE           Inmobiliario    Inversión                         Socio de proyecto   NO                                             0                    0                    0             67714973
Marie Buney            ARGENTINA       Tecnología      Inversión                         Socio capitalista   SI                                       1000000              5305190             53291805             84809282
Chauncey Hunnybun      BRASIL          Tecnología      Trabajo                           Ofreciendo trabajo  SI                                             0                    0             50085574             42495353
Chlo Pash              ARGENTINA       Inmobiliario    Trabajo                           Ofreciendo trabajo  NO                                      10000000             38941670             67846781             87726693
Millicent Colbert      ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                       1000000             28926771             56939610             92726884
Raleigh Gadd           ARGENTINA       Tecnología      Inversión                         Socio capitalista   NO                                       1000000             34252074                    0             22994819
Lowe Storck            URUGUAY         Construcción    Inversión                         Socio de proyecto   NO                                             0                    0             45347826             14301768
Neill Malzard          ARGENTINA       Tecnología      Inversión                         Socio capitalista   SI                                             0                    0             71453938             38593802
Carlin Arthur          ARGENTINA       Inmobiliario    Inversión                         Socio capitalista   NO                                      20000000             32346156             22346275             73743047
Burnaby Baggaley       ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                             0                    0             96357193             67901582
Franchot Matas         ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                     100000000             72903049             67375493              4753995
Rowe Vellden           BRASIL          Tecnología      Inversión                         Socio capitalista   NO                                             0                    0             80671052             58339670
Rhys Berrigan          ARGENTINA       Tecnología      Inversión                         Socio de proyecto   SI                                             0                    0                    0             44898366
Yule Wheelan           ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                       1000000             96696256             62106884             85228190
Worth Kaszper          ARGENTINA       Inmobiliario    Trabajo                           Buscando trabajo    NO                                      10000000             51531809             99819688             24233431
Kathy Blizard          ARGENTINA       Inmobiliario    Inversión                         Socio capitalista   SI                                             0                    0             34214902             24896611
Osmund Radbone         ARGENTINA       Tecnología      Trabajo                           Ofreciendo trabajo  NO                                             0                    0              7121108              6991703
Marjorie Flippen       BRASIL          Inmobiliario    Inversión                         Socio de proyecto   NO                                      20000000             93037614             48185946             75039300
