Nombre,País de orígen,Sector,Intención frente a los proyectos,Detalle inversión,Tiene algún proyecto,Expectativa inversión 2021,Inversión real 2021,Inversión real 2020,Inversión real 2019
Benedicta Skally,ARGENTINA,Construcción,Inversión,Socio capitalista,NO,_($* 0.00_),_($* 0.00_),_($* 96781441.00_),_($* 47643060.00_)
Sabina Samper,ARGENTINA,Agroindustrial,Inversión,Socio capitalista,SI,_($* 10000000.00_),_($* 40848959.00_),_($* 92963332.00_),_($* 47565587.00_)
Henri Swadden,URUGUAY,Construcción,Trabajo,Buscando trabajo,NO,_($* 0.00_),_($* 0.00_),_($* 49599457.00_),_($* 0.00_)
Ann-marie Dessent,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 10000000.00_),_($* 78308880.00_),_($* 3248026.00_),_($* 27143270.00_)
Leona Pates,BRASIL,Construcción,Trabajo,Ofreciendo trabajo,NO,_($* 50000000.00_),_($* 2910571.00_),_($* 37561085.00_),_($* 19598007.00_)
Kerrill Stoute,ARGENTINA,Inmobiliario,Trabajo,Ofreciendo trabajo,NO,_($* 90000000.00_),_($* 50075523.00_),_($* 59142617.00_),_($* 95314026.00_)
Diane-marie Wickliffe,CHILE,Inmobiliario,Inversión,Socio de proyecto,NO,_($* 0.00_),_($* 0.00_),_($* 0.00_),_($* 67714973.00_)
Marie Buney,ARGENTINA,Tecnología,Inversión,Socio capitalista,SI,_($* 1000000.00_),_($* 5305190.00_),_($* 53291805.00_),_($* 84809282.00_)
Chauncey Hunnybun,BRASIL,Tecnología,Trabajo,Ofreciendo trabajo,SI,_($* 0.00_),_($* 0.00_),_($* 50085574.00_),_($* 42495353.00_)
Chlo Pash,ARGENTINA,Inmobiliario,Trabajo,Ofreciendo trabajo,NO,_($* 10000000.00_),_($* 38941670.00_),_($* 67846781.00_),_($* 87726693.00_)
Millicent Colbert,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 1000000.00_),_($* 28926771.00_),_($* 56939610.00_),_($* 92726884.00_)
Raleigh Gadd,ARGENTINA,Tecnología,Inversión,Socio capitalista,NO,_($* 1000000.00_),_($* 34252074.00_),_($* 0.00_),_($* 22994819.00_)
Lowe Storck,URUGUAY,Construcción,Inversión,Socio de proyecto,NO,_($* 0.00_),_($* 0.00_),_($* 45347826.00_),_($* 14301768.00_)
Neill Malzard,ARGENTINA,Tecnología,Inversión,Socio capitalista,SI,_($* 0.00_),_($* 0.00_),_($* 71453938.00_),_($* 38593802.00_)
Carlin Arthur,ARGENTINA,Inmobiliario,Inversión,Socio capitalista,NO,_($* 20000000.00_),_($* 32346156.00_),_($* 22346275.00_),_($* 73743047.00_)
Burnaby Baggaley,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 0.00_),_($* 0.00_),_($* 96357193.00_),_($* 67901582.00_)
Franchot Matas,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 100000000.00_),_($* 72903049.00_),_($* 67375493.00_),_($* 4753995.00_)
Rowe Vellden,BRASIL,Tecnología,Inversión,Socio capitalista,NO,_($* 0.00_),_($* 0.00_),_($* 80671052.00_),_($* 58339670.00_)
Rhys Berrigan,ARGENTINA,Tecnología,Inversión,Socio de proyecto,SI,_($* 0.00_),_($* 0.00_),_($* 0.00_),_($* 44898366.00_)
Yule Wheelan,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 1000000.00_),_($* 96696256.00_),_($* 62106884.00_),_($* 85228190.00_)
Worth Kaszper,ARGENTINA,Inmobiliario,Trabajo,Buscando trabajo,NO,_($* 10000000.00_),_($* 51531809.00_),_($* 99819688.00_),_($* 24233431.00_)
Kathy Blizard,ARGENTINA,Inmobiliario,Inversión,Socio capitalista,SI,_($* 0.00_),_($* 0.00_),_($* 34214902.00_),_($* 24896611.00_)
Osmund Radbone,ARGENTINA,Tecnología,Trabajo,Ofreciendo trabajo,NO,_($* 0.00_),_($* 0.00_),_($* 7121108.00_),_($* 6991703.00_)
Marjorie Flippen,BRASIL,Inmobiliario,Inversión,Socio de proyecto,NO,_($* 20000000.00_),_($* 93037614.00_),_($* 48185946.00_),_($* 75039300.00_)
Suzette Maha,ARGENTINA,Construcción,Inversión,Socio de proyecto,NO,_($* 90000000.00_),_($* 62088180.00_),_($* 18047519.00_),_($* 3738158.00_)
Jeffrey Wooland,ARGENTINA,Tecnología,Inversión,Socio capitalista,NO,_($* 1000000.00_),_($* 1160848.00_),_($* 32268145.00_),_($* 13339687.00_)
Jeffie Babbage,ARGENTINA,Inmobiliario,Inversión,Socio de proyecto,NO,_($* 0.00_),_($* 0.00_),_($* 21224611.00_),_($* 62562457.00_)
Jephthah Fann,ARGENTINA,Tecnología,Inversión,Socio capitalista,NO,_($* 0.00_),_($* 0.00_),_($* 85434615.00_),_($* 79508333.00_)
Cherye Schubbert,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 90000000.00_),_($* 23888885.00_),_($* 68725539.00_),_($* 78613526.00_)
Avie Sumpner,CHILE,Educación,Capacitación,Académico,SI,_($* 10000000.00_),_($* 23464528.00_),_($* 904543.00_),_($* 0.00_)
Berthe Rodway,ARGENTINA,Educación,Capacitación,Académico,NO,_($* 0.00_),_($* 0.00_),_($* 66204884.00_),_($* 27801447.00_)
Cameron Drable,CHILE,Tecnología,Inversión,Socio capitalista,SI,_($* 0.00_),_($* 0.00_),_($* 30987169.00_),_($* 7339680.00_)
Trixie Gilhouley,ARGENTINA,Agroindustrial,Trabajo,Buscando trabajo,NO,_($* 10000000.00_),_($* 22390348.00_),_($* 24476166.00_),_($* 0.00_)
Hector Santoro,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 20000000.00_),_($* 31670482.00_),_($* 15619630.00_),_($* 59838390.00_)
Jennilee Wren,ARGENTINA,Inmobiliario,Inversión,Socio capitalista,NO,_($* 20000000.00_),_($* 81056910.00_),_($* 96438403.00_),_($* 90723423.00_)
Leesa Arlidge,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 0.00_),_($* 0.00_),_($* 0.00_),_($* 52936315.00_)
Timi Filliskirk,VENEZUELA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 30000000.00_),_($* 91413171.00_),_($* 13211402.00_),_($* 0.00_)
Randee Dibdall,ARGENTINA,Educación,Capacitación,Académico,NO,_($* 1000000.00_),_($* 87347043.00_),_($* 50796112.00_),_($* 72757830.00_)
De witt Madison,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 0.00_),_($* 0.00_),_($* 38721754.00_),_($* 77230635.00_)
Delbert Bampkin,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 10000000.00_),_($* 43538967.00_),_($* 5161300.00_),_($* 85417673.00_)
Phoebe Pady,ARGENTINA,Inmobiliario,Inversión,Socio capitalista,SI,_($* 1000000.00_),_($* 95899452.00_),_($* 2565664.00_),_($* 39602953.00_)
Katharina Rappa,BRASIL,Inmobiliario,Trabajo,Buscando trabajo,SI,_($* 1000000.00_),_($* 81347428.00_),_($* 10860215.00_),_($* 28637290.00_)
Salim Button,BRASIL,Tecnología,Inversión,Socio de proyecto,SI,_($* 30000000.00_),_($* 52442860.00_),_($* 2659881.00_),_($* 80287314.00_)
Bab Oehm,ARGENTINA,Tecnología,Inversión,Socio capitalista,SI,_($* 10000000.00_),_($* 96199053.00_),_($* 31746355.00_),_($* 80063468.00_)
Abby Athow,URUGUAY,Tecnología,Trabajo,Buscando trabajo,NO,_($* 1000000.00_),_($* 71783742.00_),_($* 64667814.00_),_($* 70653180.00_)
Guido Abbe,ARGENTINA,Tecnología,Trabajo,Buscando trabajo,NO,_($* 90000000.00_),_($* 94913746.00_),_($* 74083223.00_),_($* 31617670.00_)
Ginger Boulde,ARGENTINA,Tecnología,Trabajo,Ofreciendo trabajo,NO,_($* 0.00_),_($* 0.00_),_($* 67753952.00_),_($* 77205812.00_)
Carita Kirwood,ARGENTINA,Tecnología,Inversión,Socio de proyecto,SI,_($* 30000000.00_),_($* 33477783.00_),_($* 0.00_),_($* 27651635.00_)
Aliza Warland,PARAGUAY,Tecnología,Trabajo,Buscando trabajo,SI,_($* 50000000.00_),_($* 2702447.00_),_($* 0.00_),_($* 44671760.00_)
Charin Champneys,BRASIL,Tecnología,Inversión,Socio de proyecto,NO,_($* 50000000.00_),_($* 70787848.00_),_($* 33368202.00_),_($* 43277527.00_)
Wells Shay,ARGENTINA,Tecnología,Capacitación,Otro tipo,SI,_($* 0.00_),_($* 0.00_),_($* 46563396.00_),_($* 63313535.00_)
Sherman Johnston,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 20000000.00_),_($* 40064620.00_),_($* 98137438.00_),_($* 0.00_)
Charita Baudts,VENEZUELA,Construcción,Inversión,Socio capitalista,NO,_($* 30000000.00_),_($* 45289360.00_),_($* 0.00_),_($* 46980526.00_)
Walt Newport,ARGENTINA,Tecnología,Inversión,Socio capitalista,NO,_($* 30000000.00_),_($* 34397393.00_),_($* 72192037.00_),_($* 21247716.00_)
Chrisse Rodway,ARGENTINA,Tecnología,Inversión,Socio de proyecto,SI,_($* 0.00_),_($* 0.00_),_($* 69870077.00_),_($* 98441580.00_)
Tally McMurdo,ARGENTINA,Tecnología,Inversión,Socio de proyecto,NO,_($* 1000000.00_),_($* 34126405.00_),_($* 88265167.00_),_($* 56002928.00_)
Tybalt McSaul,PERU,Tecnología,Capacitación,Otro tipo,NO,_($* 1000000.00_),_($* 53008255.00_),_($* 46917910.00_),_($* 47557281.00_)
Wenonah Kik,BOLIVIA,Tecnología,Inversión,Socio capitalista,NO,_($* 0.00_),_($* 0.00_),_($* 0.00_),_($* 22675260.00_)
Aura Brideau,ARGENTINA,Tecnología,Inversión,Socio capitalista,NO,_($* 100000000.00_),_($* 94688720.00_),_($* 86323763.00_),_($* 20929788.00_)
Kelwin Middas,BRASIL,Inmobiliario,Trabajo,Buscando trabajo,NO,_($* 0.00_),_($* 0.00_),_($* 96750826.00_),_($* 31435769.00_)
Lurlene Silverson,ARGENTINA,Tecnología,Trabajo,Ofreciendo trabajo,NO,_($* 10000000.00_),_($* 89686683.00_),_($* 62448793.00_),_($* 26812600.00_)
